user_id	event	country	timestamp
1	login	US	2026-01-01 10:00:00
1	click	US	2026-01-01 10:05:00
2	login	UK	2026-01-01 14:02:00
3	login	CN	2026-01-02 16:06:00
3	click	CN	2026-01-02 18:10:00
3	logout	CN	2026-01-03 19:30:00
4	login	AU	2026-01-03 11:11:00
5	login	NZ	2026-01-04 21:00:00
5	logout	NZ	2026-01-05 21:35:00
2		UK	2026-01-02 15:15:00
4		AU	2026-01-04 18:20:00
1	login	US	2026-01-03 12:21:00
4	login	AU	2026-01-05 17:35:00
4	click	AU	2026-01-05 18:21:00
6	login	US	2026-01-03 20:30:00
7	login	NZ	2026-01-05 22:10:00
8	login	US	2026-01-03 08:40:00
7	click	NZ	2026-01-05 23:23:00
